"","Overall"
"n","173"
"Sex = Male (%)","84 (48.6)"
"Age (mean (SD))","47.28 (5.06)"
"White British Ancestry = 1 (%)","135 (78.0)"
"C Reactive Protein (mean (SD))","2.78 (4.88)"
"Townsend Deprivation Index (mean (SD))","-0.47 (3.41)"
"Pooled Cohort Equation Risk (mean (SD))","0.02 (0.02)"
"LE8 Diet Score (mean (SD))","54.69 (33.16)"
"LE8 PA Score (mean (SD))","31.60 (26.70)"
"LE8 Smoking Score (mean (SD))","94.14 (16.14)"
"LE8 Sleep Health Points (mean (SD))","89.51 (18.81)"
"LE8 BMI Points (mean (SD))","71.05 (28.58)"
"LE8 Blood Lipid Points (mean (SD))","75.43 (22.87)"
"LE8 HbA1c Score (mean (SD))","98.77 (6.94)"
"LE8 BP Score (mean (SD))","68.36 (21.55)"
"LE8 Composite Score (mean (SD))","72.94 (9.53)"
"Family Heart Disease History (%)",""
"   both_parents","16 (9.2)"
"   father","37 (21.4)"
"   mother","18 (10.4)"
"   no_history","102 (59.0)"
